HandleCount	Name	OtherOperationCount	OtherTransferCount	PageFaults	PageFileUsage	ParentProcessId	Priority	ProcessId	ThreadCount
504	TeamViewer_Service.exe	2305	190790	9060	7596	572	8	5256	27
109	svchost.exe	578	48686	1475	1284	572	8	5324	2
253	xTendUtilityService.exe	286	4158	5232	14852	572	8	5516	7
452	dasHost.exe	1861	230819	4207	5444	4368	8	5664	23
427	svchost.exe	362	19004	3623	3600	572	8	5724	13
125	jhi_service.exe	57	570	1391	1116	572	8	5732	2
160	svchost.exe	1967	103230	4338	1680	572	8	6780	3
80	dasHost.exe	22	110	1145	880	4368	8	6968	1
135	xTendUtility.exe	88	2808	2163	1680	5516	8	7024	3
154	conhost.exe	48	654	3341	6680	7024	8	7040	4
207	DAX3API.exe	83	142	2615	2416	4500	8	7544	3
158	unsecapp.exe	58	242	3259	2224	1128	8	7692	6
232	WmiPrvSE.exe	757	49130	5848	3712	1128	8	7716	9
355	WmiPrvSE.exe	10869	278906	23974	9276	1128	8	7728	7
149	svchost.exe	82	354	2083	1724	572	8	8036	2
180	svchost.exe	1018	50208	2569	2080	572	8	8096	3
202	NisSrv.exe	4650	3234988	7271	7972	572	8	8116	10
268	svchost.exe	369	5686	12941	9292	572	8	8200	27
404	DSAUpdateService.exe	1359	26462	26713	44804	572	8	8292	8
140	svchost.exe	71	1472	1877	1540	572	8	4192	1
209	svchost.exe	242	6810	2984	2112	572	8	4228	3
283	svchost.exe	973	148201	3276	3348	572	8	2564	14
249	svchost.exe	1208	57802	2432	2404	572	8	7912	11
161	svchost.exe	4253	1208477	2402	1740	572	8	708	4
195	dllhost.exe	985	36758	4436	3804	1128	8	9444	5
582	sihost.exe	3885	217640	7108	6560	2536	8	9628	18
500	svchost.exe	1177	100171	72110	10592	572	8	9656	14
576	svchost.exe	1363	61562	15602	9368	572	8	9700	10
123	LenovoNerveCenterUpdateAgent.exe	72	1776	1975	1696	1700	6	9760	2
223	DropboxUpdate.exe	271	5330	3091	2132	1700	8	9772	4
279	taskhostw.exe	2323	30700	6172	7100	1700	8	9824	8
327	svchost.exe	10907	433718	19885	4360	572	8	9964	9
424	svchost.exe	851	36703	5056	5312	572	8	9392	14
2977	explorer.exe	83163	17854470	98622	100600	9112	8	9432	104
264	svchost.exe	113	3032	4830	3300	572	8	10300	6
837	StartMenuExperienceHost.exe	1138	14418	27111	45612	1128	8	10632	54
479	RuntimeBroker.exe	9887	126460	14356	8692	1128	8	10868	33
1011	SearchIndexer.exe	13885	3179282	100015	44900	572	8	10964	100
1502	SearchUI.exe	4790	277489	80497	136628	1128	8	11004	63
715	RuntimeBroker.exe	7695	697920	19429	14580	1128	8	10784	28
343	RemindersServer.exe	1489	36844	7169	8552	1128	8	11524	11
96	DSRHost.exe	19	900	95209	1352	4500	8	11664	4
339	svchost.exe	755	82196	9055	6936	572	8	11672	10
306	SettingSyncHost.exe	202	6540	4819	3368	1128	6	11780	8
453	ctfmon.exe	1339	3102	4157	3912	1872	13	11812	14
626	svchost.exe	5870	202033	52773	20032	572	8	12040	19
269	SearchProtocolHost.exe	107	4604	2097	2032	10964	4	12092	6
200	svchost.exe	78	1824	2713	2472	572	8	12176	9
567	YourPhone.exe	1450	30238	18435	40464	1128	8	12244	20
121	svchost.exe	79	1242	2111	2880	572	8	12272	4
216	SearchFilterHost.exe	182	6436	4975	4176	10964	4	7900	5
158	ChsIME.exe	26	1448	2124	1672	1128	8	2364	3
125	ChtIME.exe	25	950	1800	1348	1128	8	4020	3
185	GoogleCrashHandler.exe	153	3198	2324	1852	9896	4	12296	5
164	GoogleCrashHandler64.exe	140	2896	2174	1800	9896	4	12308	5
767	Lenovo.Modern.ImController.PluginHost.Device.exe	4900	21418	77640	44304	4548	8	12552	27
146	rundll32.exe	32	986	9714	1880	12552	8	12920	10
390	smartscreen.exe	507	13700	7120	8760	1128	8	13012	10
2398	chrome.exe	66991	1329624	577581	193176	9432	8	13064	34
264	svchost.exe	818	35670	2508	3728	572	8	13080	9
314	chrome.exe	313	1836	2004	1708	13064	8	13160	8
684	chrome.exe	799	107846	68016	122076	13064	10	13292	36
518	chrome.exe	30218	498338	56189	31992	13064	8	13308	19
237	chrome.exe	188	19806	61000	39436	13064	8	12808	14
312	chrome.exe	187	19806	17836	30208	13064	8	12816	14
239	chrome.exe	188	19806	327834	90488	13064	8	12872	15
228	chrome.exe	186	19808	9310	16484	13064	8	12984	14
234	chrome.exe	187	19392	14395	30828	13064	4	13860	14
500	svchost.exe	1340	28708	21037	6776	572	8	14004	19
701	backgroundTaskHost.exe	2410	92008	12252	10424	1128	8	14060	26
501	PlacesServer.exe	948	22645	8130	6996	1128	8	14204	17
365	RuntimeBroker.exe	3377	965342	9054	4836	1128	8	13772	10
223	RuntimeBroker.exe	522	11912	5982	3276	1128	8	14424	6
506	chrome.exe	241	19008	202301	209760	13064	4	14556	19
356	chrome.exe	223	19006	75170	87900	13064	8	14644	17
170	SecurityHealthSystray.exe	59	2028	2303	1944	9432	8	14936	5
406	SecurityHealthService.exe	239	4464	4222	4020	572	8	14968	11
316	RtkAudUService64.exe	3095	304715	2799	2580	9432	8	15048	12
1475	WINWORD.EXE	14736	496283	49126	99884	9432	8	15248	61
987	Snagit32.exe	7066	157335	66738	79136	9432	8	15288	21
254	chrome.exe	190	19508	19786	28892	13064	4	9888	15
275	chrome.exe	203	19508	20061	29672	13064	4	14652	15
272	chrome.exe	197	19538	113258	93100	13064	4	14640	17
184	svchost.exe	9296	171916	2484	1996	572	8	14920	4
138	SnagPriv.exe	111	1412	2038	1836	15288	8	11428	5
221	chrome.exe	199	19236	4075	6216	13064	8	1556	9
122	svchost.exe	34	1154	1551	1512	572	8	15484	4
1311	SnagitEditor.exe	15839	884096	155355	198356	15288	6	15796	33
217	acrotray.exe	627	331706	3992	3984	9432	8	15928	7
275	chrome.exe	197	19540	114934	98136	13064	4	16048	17
391	LenovoNerveCenterTray.exe	646	12270	7238	4216	9432	8	16192	11
133	HotkeyMonitor.exe	21	804	1579	1488	16192	8	15504	10
272	chrome.exe	197	19540	107650	100984	13064	4	15848	17
38	CCXProcess.exe	14	806	623	580	9432	8	15936	1
760	node.exe	13547	769659	38930	53120	15936	8	4812	31
120	conhost.exe	122	6709	2830	6540	4812	8	4880	3
390	chrome.exe	222	19508	124488	70932	13064	4	5800	25
287	AdobeCollabSync.exe	194	4848	3402	3960	9432	8	6048	7
473	AdobeCollabSync.exe	2833	71276	13955	7292	6048	8	16356	21
346	ScanToPCActivationApp.exe	702	10398	4774	4856	9432	8	16440	8
108	svchost.exe	21	1044	1450	1256	572	8	16624	3
293	AdobeIPCBroker.exe	203	2030	14174	5844	4812	8	16676	23
155	TabletDriverCore.exe	1590	10938	4028	8824	9432	8	16724	4
819	Skype.exe	7139	250380	31683	42132	9432	8	16788	30
266	Skype.exe	628	11034	4598	11996	16788	8	16924	7
613	Skype.exe	1206	124350	66624	53504	16788	10	17044	34
522	Skype.exe	3432	102247	8451	16520	16788	8	17112	15
1298	Skype.exe	7145	3951350	148596	214076	16788	8	17224	61
1126	Viber.exe	12809	274433	86297	102036	9432	8	16772	39
383	chrome.exe	238	19540	186905	159024	13064	4	17528	21
505	svchost.exe	1439	48876	7111	10696	572	8	17792	21
273	chrome.exe	197	19616	120670	108252	13064	4	17952	17
343	Skype.exe	807	24424	5822	13040	16788	8	12524	9
283	chrome.exe	200	19538	35640	47748	13064	4	18284	15
621	KillerControlCenter.exe	4522	228432	251088	168036	16576	8	18496	13
832	Skype.exe	3824	80355	26220	32064	9432	8	18556	31
248	Skype.exe	615	9824	4488	12144	18556	8	18656	7
261	chrome.exe	197	19538	87046	83860	13064	4	18700	16
587	Skype.exe	996	50546	49797	54244	18556	10	18924	27
479	Skype.exe	1938	64018	7186	14084	18556	8	18936	14
427	Skype.exe	2201	19012	105849	128208	18556	8	19064	20
348	utility.exe	687	7635	3858	3504	9432	8	15752	8
243	dllhost.exe	1264	33726	4045	5840	1128	8	7652	12
141	unsecapp.exe	42	1084	1891	1636	1128	8	18336	5
286	chrome.exe	205	19540	35560	46196	13064	4	19584	15
401	Huion Tablet.exe	887	25751	15083	29780	9432	8	19776	13
876	Creative Cloud.exe	14529	336057	844425	38560	19696	8	20160	35
77	cmd.exe	136	2932	1256	3308	9432	8	10200	2
263	conhost.exe	436	11358	4815	7532	10200	8	17752	4
523	Adobe CEF Helper.exe	9674	267328	11243	16104	20160	8	20092	15
1144	Adobe Desktop Service.exe	33840	2391982	371089	154676	20160	8	20132	50
388	Adobe CEF Helper.exe	6272	177848	25554	35176	20160	4	20256	20
623	Adobe CEF Helper.exe	11169	319134	202288	143816	20160	8	20268	44
789	ied.exe	4272	199429	30912	67992	9432	8	4220	21
413	Creative Cloud Helper.exe	7997	589029	7941	7508	20132	8	19452	16
286	chrome.exe	197	19538	92184	91328	13064	4	20584	18
38	CCLibrary.exe	14	828	646	580	20160	8	20796	1
881	node.exe	21860	813482	36277	61688	20796	8	20816	29
120	conhost.exe	176	9708	2826	6532	20816	8	20824	3
139	emedtray.exe	124	3366	2016	1676	9432	8	20876	2
160	ONENOTEM.EXE	144	5108	3605	2796	9432	8	20980	4
258	chrome.exe	197	19538	85798	83428	13064	4	21000	15
272	chrome.exe	197	19538	95462	93396	13064	4	21008	16
262	chrome.exe	197	19538	80543	82928	13064	4	21288	15
676	CoreSync.exe	7521	117770	19445	20136	20132	8	10900	60
312	HPNETW~1.EXE	614	23910	3704	3148	1128	8	21224	12
298	chrome.exe	205	19538	32171	45968	13064	4	21768	15
287	chrome.exe	202	19540	30773	46524	13064	4	21780	15
291	chrome.exe	202	19538	31209	47100	13064	4	22220	15
217	chrome.exe	184	19508	6166	12300	13064	4	17708	14
730	vpnui.exe	3043	66177	49521	13012	19696	8	21600	13
440	AdobeNotificationClient.exe	665	8660	8505	22040	1128	8	22244	20
133	RuntimeBroker.exe	78	2844	3001	2004	1128	8	18720	3
476	DSATray.exe	1479	30604	35957	63596	19696	8	17428	16
610	ShellExperienceHost.exe	846	12332	17433	29632	1128	8	21380	23
222	RuntimeBroker.exe	569	10496	4594	2852	1128	8	19232	6
376	Adobe CEF Helper.exe	3979	108720	7787	13808	20160	4	21684	20
300	backgroundTaskHost.exe	454	5954	7461	8856	1128	8	19848	13
605	backgroundTaskHost.exe	2155	143296	15891	24324	1128	8	15436	19
431	AcrobatNotificationClient.exe	638	8148	9959	35344	1128	8	4168	22
552	backgroundTaskHost.exe	1469	88954	9881	8532	1128	8	9200	17
291	backgroundTaskHost.exe	573	7840	7734	11080	1128	8	12896	10
303	RuntimeBroker.exe	475	11224	5502	3688	1128	8	10128	8
194	RuntimeBroker.exe	156	6734	2733	2740	1128	8	4984	6
307	RuntimeBroker.exe	1371	94746	6035	6628	1128	8	15224	8
125	RuntimeBroker.exe	47	1354	1865	1688	1128	8	10340	4
230	RuntimeBroker.exe	531	12642	7757	4932	1128	8	11836	7
117	svchost.exe	73	5102	1926	1584	572	8	15320	5
463	svchost.exe	2945	139872	5483	6416	572	8	3036	21
245	svchost.exe	2499	66106	3174	3188	572	8	1488	10
89	SgrmBroker.exe	301	5184	2156	4384	572	8	21492	6
226	sppsvc.exe	444	1212	3172	4416	572	8	12764	9
169	svchost.exe	261	24472	2101	2216	572	8	20960	12
231	svchost.exe	167	1916	2554	3024	572	8	8952	15
206	WMIC.exe	146	2242	3293	2852	10200	8	13624	8
